"Eric Dawson","San Antonio Spurs",38172
"Ikechukwa Somotochukwa Diogu","San Antonio Spurs",64028
"Gerald Green","Los Angeles Lakers",73818
"Donald Wayne Sloan","New Orleans Hornets",76392
"Malcolm Thomas","San Antonio Spurs",103104
"Ishmael Larry Smith","Golden State Warriors",116768
"Donald Wayne Sloan","Atlanta Hawks",122237
"Corperryale L'Adorable Harris","Cleveland Cavaliers",122942
"Solomon Jones III","New Orleans Hornets",160119
"Earl Daniel Barron Jr.","Golden State Warriors",185588
"Mickell Jawaun Gladness","Miami Heat",248263
"Jeff Adrien","Houston Rockets",270427
"Hamady Barro N'Diaye","Washington Wizards",270427
"Michael Lamont James","Chicago Bulls",277566
"Solomon Jones III","Los Angeles Clippers",280234
"DeMarre LaEdrick Carroll","Denver Nuggets",289382
"Gregory Smith","Houston Rockets",301733
"DaJuan Michael Summers","New Orleans Hornets",303137
"Lance Thomas","New Orleans Hornets",328444
"Gerald Green","New Jersey Nets",443181
"Lavoy Allen","Philadelphia 76ers",473604
"Andrew Darius Goudelock","Los Angeles Lakers",473604
"Josh Douglas Harrellson","New York Knicks",473604
"Terrel Harris","Miami Heat",473604
"Charles Jenkins","Golden State Warriors",473604
"Ivan W. Johnson","Atlanta Hawks",473604
"Jerome Adalphus Jordan","New York Knicks",473604
"Jon Leuer","Milwaukee Bucks",473604
"DeAndre Desmond Liggins","Orlando Magic",473604
"Vernon Leon Macklin","Detroit Pistons",473604
"Shelvin Bernard Mack","Washington Wizards",473604
"E'Twaun Donte Moore","Boston Celtics",473604
"Darius Aaron Morris","Los Angeles Lakers",473604
"Julyan Ray Stone","Denver Nuggets",473604
"Isaiah Thomas","Sacramento Kings",473604
"Chris Wright","Golden State Warriors",473604
"Malcolm T. Lee","Minnesota Timberwolves",500000
