season,team_id,avg(experience),"sum((experience-(select avg(experience) from teamsroster where season between 2002 and 2011))*(experience-(select avg(experience) from teamsroster where season between 2002 and 2011)))/(count(experience)-1)"
2002,ATL,3.80952380952381,6.68599355540699
2003,ATL,4.04347826086957,9.21512494897137
2004,ATL,5.75,28.8416821216428
2005,ATL,2.53333333333333,13.8467053088736
2006,ATL,3.0,13.3675434306397
2007,ATL,3.875,15.6346622324524
2008,ATL,3.6,9.39998663314725
2009,ATL,5.64285714285714,17.2138992676723
2010,ATL,5.82352941176471,13.1315354820597
2011,ATL,7.8125,33.4596377658249
2002,BOS,5.82352941176471,19.6315354820597
2003,BOS,4.42105263157895,12.1145585020822
2004,BOS,4.53333333333333,20.7233935061724
2005,BOS,3.0,10.8083098189698
2006,BOS,3.25,14.2952481266261
2007,BOS,6.66666666666667,28.972813297577
2008,BOS,5.5625,22.7977469848501
2009,BOS,6.0,28.2408715444258
2010,BOS,6.76190476190476,32.6742691474994
2011,BOS,7.23529411764706,36.5452172201689
2004,CHA,3.15789473684211,12.080174734874
2005,CHA,2.625,10.1558340207998
2006,CHA,4.33333333333333,14.7270691018962
2007,CHA,5.2,15.7299086195578
2008,CHA,3.95833333333333,13.9129627194634
2009,CHA,6.0,18.6853159888703
2010,CHA,5.42105263157895,16.5908530585295
2011,CHA,4.5,16.307409671612
2002,CHI,3.26666666666667,12.6824433621689
2003,CHI,4.71428571428571,22.6146586562095
2004,CHI,3.4,16.0551749562745
2005,CHI,3.10526315789474,14.9907791149441
2006,CHI,3.78571428571429,15.0725800271164
2007,CHI,3.57894736842105,15.5731174720916
2008,CHI,4.78947368421053,16.6292167304809
2009,CHI,4.5,17.4816198946149
2010,CHI,5.06666666666667,16.3571770254521
2011,CHI,5.5,14.197111397097
2002,CLE,3.5,17.0390042859658
2003,CLE,3.52380952380952,6.60325720778514
2004,CLE,4.5,16.707409671612
2005,CLE,4.52941176470588,12.9189938887929
2006,CLE,5.86666666666667,20.4507094472288
2007,CLE,5.34782608695652,18.227562892707
2008,CLE,5.1875,21.7540985213543
2009,CLE,4.66666666666667,20.4714648049807
2010,CLE,3.73684210526316,13.9524154429926
2011,CLE,2.95238095238095,15.5377845125415
2002,DAL,5.52941176470588,15.5036851199536
