Year,Lg,Champion,Runner-Up,Finals_MPV,Top_Performer_Points,Top_Performer_Rebounds,Top_Performer_Assists,Top_Performer_Win_Shares
2014,NBA,SAS,MIA,leonaka01,duranke01,duncati01,westbru01,jamesle01,
2013,NBA,MIA,SAS,jamesle01,jamesle01,duncati01,jamesle01,jamesle01,
2012,NBA,MIA,OKC,jamesle01,jamesle01,jamesle01,rondora01,jamesle01,
2011,NBA,DAL,MIA,nowitdi01,nowitdi01,chandty01,kiddja01,jamesle01,
2010,NBA,LAL,BOS,bryanko01,bryanko01,gasolpa01,rondora01,gasolpa01,
2009,NBA,LAL,ORL,bryanko01,bryanko01,howardw01,rondora01,jamesle01,
2008,NBA,BOS,LAL,piercpa01,bryanko01,garneke01,rondora01,garneke01,
2007,NBA,SAS,CLE,parketo01,jamesle01,duncati01,jamesle01,jamesle01,
2006,NBA,MIA,DAL,wadedw01,wadedw01,nowitdi01,nashst01,nowitdi01,
2005,NBA,SAS,DET,duncati01,duncati01,duncati01,nashst01,billuch01,
2004,NBA,DET,LAL,billuch01,bryanko01,wallabe01,billuch01,onealsh01,
2003,NBA,SAS,NJN,duncati01,duncati01,duncati01,kiddja01,duncati01,
2002,NBA,LAL,NJN,onealsh01,onealsh01,onealsh01,kiddja01,onealsh01,
2001,NBA,LAL,PHI,onealsh01,iversal01,mutomdi01,iversal01,bryanko01,
2000,NBA,LAL,IND,onealsh01,onealsh01,onealsh01,jacksma01,onealsh01,
1999,NBA,SAS,NYK,duncati01,sprewla01,duncati01,johnsav01,duncati01,
1998,NBA,CHI,UTA,jordami01,jordami01,rodmade01,stockjo01,jordami01,
1997,NBA,CHI,UTA,jordami01,jordami01,malonka01,stockjo01,jordami01,
1996,NBA,CHI,SEA,jordami01,jordami01,rodmade01,stockjo01,jordami01,
1995,NBA,HOU,ORL,olajuha01,olajuha01,onealsh01,hardaan01,onealsh01,
1994,NBA,HOU,NYK,olajuha01,olajuha01,ewingpa01,stockjo01,olajuha01,
1993,NBA,CHI,PHO,jordami01,jordami01,barklch01,johnske02,barklch01,
1992,NBA,CHI,POR,jordami01,jordami01,grantho01,stockjo01,jordami01,
1991,NBA,CHI,LAL,jordami01,jordami01,rodmade01,johnsma02,jordami01,
1990,NBA,DET,POR,thomais01,jordami01,laimbbi01,johnske02,jordami01,
1989,NBA,DET,LAL,dumarjo01,jordami01,rodmade01,johnsma02,jordami01,
1988,NBA,LAL,DET,worthja01,worthja01,laimbbi01,johnsma02,johnsma02,
1987,NBA,LAL,BOS,johnsma02,birdla01,birdla01,johnsma02,johnsma02,
1986,NBA,BOS,HOU,birdla01,olajuha01,olajuha01,johnsma02,birdla01,
1985,NBA,LAL,BOS,abdulka01,birdla01,parisro01,johnsma02,johnsma02,
1984,NBA,BOS,LAL,birdla01,birdla01,birdla01,johnsma02,birdla01,
1983,NBA,PHI,LAL,malonmo01,abdulka01,malonmo01,johnsma02,malonmo01,
1982,NBA,LAL,PHI,johnsma02,ervinju01,jonesca01,cheekma01,ervinju01,
1981,NBA,BOS,HOU,maxwece01,malonmo01,malonmo01,cheekma01,malonmo01,
1980,NBA,LAL,PHI,johnsma02,abdulka01,jonesca01,johnsma02,abdulka01,
1979,NBA,SEA,WSB,johnsde01,willigu01,hayesel01,hendeto01,willigu01,
1978,NBA,WSB,SEA,unselwe01,hayesel01,webstma01,hendeto01,hayesel01,
1977,NBA,POR,PHI,waltobi01,ervinju01,waltobi01,waltobi01,ervinju01,
1976,NBA,BOS,PHO,whitejo01,whitejo01,cowenda01,whitejo01,cowenda01,
1976,ABA,NYA,DNA,,ervinju01,ervinju01,dampilo01,ervinju01,
1975,NBA,GSW,WSB,barryri01,barryri01,unselwe01,porteke01,barryri01,
1975,ABA,KEN,INA,,mcginge01,mcginge01,mcginge01,gilmoar01,
1974,NBA,BOS,MIL,havlijo01,abdulka01,abdulka01,roberos01,abdulka01,
1974,ABA,NYA,UTS,,wisewi01,govange01,boonero01,ervinju01,
1973,NBA,NYK,LAL,reedwi01,westje01,chambwi01,westje01,fraziwa01,
1973,ABA,INA,KEN,,isselda01,gilmoar01,lewisfr02,isselda01,
1972,NBA,LAL,NYK,chambwi01,fraziwa01,chambwi01,westje01,fraziwa01,
1972,ABA,INA,NYA,,barryri01,danieme01,lewisfr02,ervinju01,
1971,NBA,MIL,BAL,abdulka01,monroea01,unselwe01,roberos01,abdulka01,
1971,ABA,UTS,KEN,,isselda01,beatyze01,dampilo01,isselda01,
1970,NBA,NYK,LAL,reedwi01,westje01,chambwi01,fraziwa01,westje01,
1970,ABA,INA,LAS,,haywosp01,danieme01,calvima01,brownro01,
1969,NBA,BOS,LAL,westje01,westje01,chambwi01,westje01,westje01,
1969,ABA,OAK,INA,,jabalwa01,danieme01,brownla01,brownro01,
1968,NBA,BOS,LAL,,havlijo01,russebi01,havlijo01,westje01,
1968,ABA,PTP,NOB,,hawkico01,washitr01,brownla01,hawkico01,
1967,NBA,PHI,SFW,,barryri01,chambwi01,chambwi01,chambwi01,
1966,NBA,BOS,LAL,,westje01,russebi01,russebi01,russebi01,
1965,NBA,BOS,LAL,,westje01,russebi01,russebi01,russebi01,
1964,NBA,BOS,SFW,,chambwi01,chambwi01,rodgegu01,chambwi01,
1963,NBA,BOS,LAL,,bayloel01,russebi01,cousybo01,russebi01,
1962,NBA,BOS,LAL,,bayloel01,russebi01,cousybo01,russebi01,
1961,NBA,BOS,STL,,bayloel01,russebi01,cousybo01,bayloel01,
1960,NBA,BOS,STL,,pettibo01,russebi01,cousybo01,russebi01,
1959,NBA,BOS,MNL,,bayloel01,russebi01,cousybo01,ramsefr01,
1958,NBA,STL,BOS,,hagancl01,russebi01,cousybo01,hagancl01,
1957,NBA,BOS,STL,,pettibo01,russebi01,cousybo01,pettibo01,
1956,NBA,PHW,FTW,,arizipa01,johnsne01,kingge01,arizipa01,
1955,NBA,SYR,FTW,,schaydo01,schaydo01,phillan01,schaydo01,
1954,NBA,MNL,SYR,,mikange01,mikange01,martisl01,mikange01,
1953,NBA,MNL,NYK,,mikange01,mikange01,mcguidi01,mikange01,
1952,NBA,MNL,NYK,,mikange01,mikange01,mcguidi01,mikange01,
1951,NBA,ROC,NYK,,risenar01,risenar01,mcguidi01,wanzebo01,
1950,NBA,MNL,SYR,,mikange01,,pollaji01,mikange01,
1949,BAA,MNL,WSC,,mikange01,,pollaji01,mikange01,
1948,BAA,BLB,PHW,,fulksjo01,,dallmho01,simmoco01,
1947,BAA,PHW,CHS,,fulksjo01,,dallmho01,fulksjo01,
