Franchise_id,Season,Lg,Team_id,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs
ATL,2014,NBA,ATL,42,9,.824,1,6.32,93.9,0.1,110.1,4.3,102.8,-3.0,,
ATL,2013,NBA,ATL,38,44,.463,4,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,
ATL,2012,NBA,ATL,44,38,.537,2,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,
ATL,2011,NBA,ATL,40,26,.606,2,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,
ATL,2010,NBA,ATL,44,38,.537,3,-1.10,89.3,-2.8,106.1,-1.2,107.0,-0.3,Lost E. Conf. Semis,
ATL,2009,NBA,ATL,53,29,.646,2,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,
ATL,2008,NBA,ATL,47,35,.573,2,1.70,89.6,-2.1,109.3,1.0,107.6,-0.7,Lost E. Conf. Semis,
ATL,2007,NBA,ATL,37,45,.451,3,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,
ATL,2006,NBA,ATL,30,52,.366,5,-4.86,90.0,-1.9,103.0,-3.5,108.3,1.8,,
ATL,2005,NBA,ATL,26,56,.317,5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,,
ATL,2004,NBA,ATL,13,69,.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5.0,,
ATL,2003,NBA,ATL,28,54,.341,7,-5.00,90.8,0.7,101.0,-1.9,106.1,3.2,,
ATL,2002,NBA,ATL,35,47,.427,5,-3.87,91.0,0.0,102.3,-1.3,106.1,2.5,,
ATL,2001,NBA,ATL,33,49,.402,6,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9,,
ATL,2000,NBA,ATL,25,57,.305,7,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3,,
ATL,1999,NBA,ATL,28,54,.341,7,-5.41,91.7,-1.4,102.0,-2.1,107.9,3.8,,
ATL,1998,NBA,ATL,31,19,.620,2,2.82,85.3,-3.6,100.5,-1.7,97.1,-5.1,Lost E. Conf. Semis,
