"Ronald Glen Davis","Orlando Magic",6300000
"Tayshaun Durell Prince","Detroit Pistons",6292135
"Michael Paul Beasley","Minnesota Timberwolves",6262347
"Andrew Melvin Gooden","Milwaukee Bucks",6226200
"Albert Harrington","Denver Nuggets",6226200
"Jermaine O'Neal","Boston Celtics",6226200
"Wesley Matthews Jr.","Portland Trail Blazers",6135160
"Joshua Malik Childress","Phoenix Suns",6000000
"Francisco Alberto Garcia","Sacramento Kings",5800000
"Kyle Lowry","Houston Rockets",5750000
"Blake Austin Griffin","Los Angeles Clippers",5731080
"Luke Theodore Walton","Los Angeles Lakers",5680000
"Ovinton J'Anthony Mayo","Memphis Grizzlies",5632637
"Channing Thomas Frye","Phoenix Suns",5600000
"Johnathan Hildred Wall Jr.","Washington Wizards",5530080
"Amir Jalla Johnson","Toronto Raptors",5500000
"Michael Lloyd Miller","Miami Heat",5400000
"Jason Anthony Richardson","Orlando Magic",5395000
"Mickael Pietrus","Phoenix Suns",5300000
"Martell Webster","Minnesota Timberwolves",5256000
"Charles Edward Hayes Jr.","Sacramento Kings",5250000
"Louis Williams","Philadelphia 76ers",5176000
"Kyrie Andrew Irving","Cleveland Cavaliers",5144280
"Hasheem Thabeet","Houston Rockets",5127720
"Russell Westbrook","Oklahoma City Thunder",5082416
"Aaron Jamal Crawford","Portland Trail Blazers",5000000
"Richard Clay Hamilton","Chicago Bulls",5000000
"Jarrett Matthew Jack","New Orleans Hornets",5000000
"Kyle Elliot Korver","Chicago Bulls",5000000
"Jason Dior Maxiell","Detroit Pistons",5000000
"Luc Richard Mbah a Moute","Milwaukee Bucks",5000000
"Evan Marcel Turner","Philadelphia 76ers",4947840
"Zaur Pachulia","Atlanta Hawks",4750000
"Ronnie Brewer","Chicago Bulls",4710000
"Kevin Wesley Love","Minnesota Timberwolves",4609701
"Linas Kleiza","Toronto Raptors",4605000
"James Edward Harden Jr.","Oklahoma City Thunder",4604760
"Derrick Williams","Minnesota Timberwolves",4602720
"Nikola Pekovic","Minnesota Timberwolves",4503600
"Jonas Jerebko","Detroit Pistons",4500000
"Nathaniel Cornelius Robinson","Oklahoma City Thunder",4500000
"Derrick Bernard Favors","Utah Jazz",4443360
"Daniel Hiram Gibson","Cleveland Cavaliers",4403834
"Ronny Turiaf","Washington Wizards",4360000
"Jose Juan Barea","Minnesota Timberwolves",4300000
"Ramon Sessions","Cleveland Cavaliers",4257973
"Brandon Sam Bass","Boston Celtics",4250000
"Jared Anthony Dudley","Phoenix Suns",4250000
"Randy Foye","Los Angeles Clippers",4250000
"Christopher Claus Andersen","Denver Nuggets",4234000
"Danilo Gallinari","Denver Nuggets",4190182
"Tyreke Jamir Evans","Sacramento Kings",4151640
"Enes Kanter","Utah Jazz",4133280
"Spencer Mason Hawes","Philadelphia 76ers",4051024
"Wesley JaMarr Johnson","Minnesota Timberwolves",4006080
"Steven Hanson Blake","Los Angeles Lakers",4000000
"Almario Vernard Chalmers","Miami Heat",4000000
"Jordan Robert Farmar","New Jersey Nets",4000000
"Ryan Anthony Gomes","Los Angeles Clippers",4000000
"Anthony Jarrad Morrow","New Jersey Nets",4000000
"Travis Marquez Outlaw","New Jersey Nets",4000000
"Eric Gordon Jr.","New Orleans Hornets",3831184
"Dorell Wright","Golden State Warriors",3823000
"Udonis Johneal Haslem","Miami Heat",3780000
"Michael Joseph Dunleavy Jr.","Milwaukee Bucks",3750000
