Team_id,Season,No,Player,Pos,Experience
ATL,2014,15,horfoal01,C,7,
ATL,2014,12,jenkijo01,SG,2,
ATL,2014,8,macksh01,PG,3,
ATL,2014,32,scottmi01,PF,2,
ATL,2014,17,schrode01,PG,1,
ATL,2014,24,bazemke01,SG,2,
ATL,2014,25,sefolth01,SF,8,
ATL,2014,4,millspa01,PF,8,
ATL,2014,26,korveky01,SG,11,
ATL,2014,0,teaguje01,PG,5,
ATL,2014,7,brandel01,PF,15,
ATL,2014,6,anticpe01,PF,1,
ATL,2014,5,carrode01,SF,5,
ATL,2014,31,muscami01,PF,1,
ATL,2014,33,paynead01,PF,0,
ATL,2013,6,anticpe01,PF,0,
ATL,2013,14,ayongu01,C,2,
ATL,2013,42,brandel01,PF,14,
ATL,2013,5,carrode01,SF,4,
ATL,2013,7,cunnija01,SG,1,
ATL,2013,15,horfoal01,C,6,
ATL,2013,12,jenkijo01,SG,1,
ATL,2013,26,korveky01,SG,10,
ATL,2013,8,macksh01,PG,2,
ATL,2013,20,martica01,SF,5,
ATL,2013,4,millspa01,PF,7,
ATL,2013,31,muscami01,PF,0,
ATL,2013,2,nunnaja01,SF,0,
ATL,2013,45,pittmde01,C,3,
ATL,2013,17,schrode01,PG,0,
ATL,2013,32,scottmi01,PF,1,
ATL,2013,0,teaguje01,PG,4,
ATL,2013,3,willilo02,PG,8,
ATL,2012,34,harride01,SG,8,
ATL,2012,15,horfoal01,C,5,
ATL,2012,12,jenkijo01,SG,0,
ATL,2012,44,johnsiv01,PF,1,
ATL,2012,30,jonesda02,SG,9,
ATL,2012,26,korveky01,SF,9,
ATL,2012,8,macksh01,PG,1,
ATL,2012,22,morroan01,SG,4,
ATL,2012,27,pachuza01,C,9,
ATL,2012,7,pargoja01,PG,8,
ATL,2012,10,petrojo01,C,7,
ATL,2012,32,scottmi01,PF,0,
ATL,2012,5,smithjo03,PF,8,
ATL,2012,92,stevede01,SG,12,
ATL,2012,0,teaguje01,PG,3,
ATL,2012,4,tollian01,SF,4,
ATL,2012,1,tylerje01,C,1,
ATL,2012,3,willilo02,SG,7,
ATL,2011,34,collija04,C,10,
ATL,2011,25,dampier01,C,15,
ATL,2011,33,greenwi01,SG,8,
ATL,2011,6,hinriki01,SG,8,
ATL,2011,15,horfoal01,C,4,
ATL,2011,44,johnsiv01,PF,0,
ATL,2011,2,johnsjo02,SG,10,
ATL,2011,1,mcgratr01,SF,14,
ATL,2011,27,pachuza01,C,8,
ATL,2011,7,pargoja01,PG,7,
ATL,2011,77,radmavl01,SF,10,
ATL,2011,12,sloando01,PG,0,
ATL,2011,5,smithjo03,PF,7,
ATL,2011,42,stackje01,SF,16,
ATL,2011,0,teaguje01,PG,2,
ATL,2011,24,willima02,SF,6,
ATL,2010,31,armsthi01,C,4,
ATL,2010,10,bibbymi01,PG,12,
ATL,2010,34,collija04,C,9,
ATL,2010,11,crawfja01,SG,10,
ATL,2010,55,crawfjo02,SG,0,
ATL,2010,1,evansma01,SF,7,
ATL,2010,6,hinriki01,PG,7,
ATL,2010,15,horfoal01,C,3,
ATL,2010,2,johnsjo02,SG,9,
ATL,2010,27,pachuza01,C,7,
ATL,2010,12,poweljo01,PF,5,
ATL,2010,5,smithjo03,PF,6,
ATL,2010,19,sypa01,SF,0,
ATL,2010,0,teaguje01,PG,1,
ATL,2010,36,thomaet01,C,8,
ATL,2010,3,wilkida02,SF,6,
ATL,2010,24,willima02,SF,5,
ATL,2009,10,bibbymi01,PG,11,
ATL,2009,34,collija04,C,8,
ATL,2009,11,crawfja01,SG,9,
ATL,2009,1,evansma01,SF,6,
ATL,2009,15,horfoal01,C,2,
ATL,2009,50,hunteot01,SF,1,
ATL,2009,2,johnsjo02,SG,8,
ATL,2009,33,morrira01,PF,3,
ATL,2009,27,pachuza01,C,6,
ATL,2009,32,smithjo02,PF,14,
ATL,2009,5,smithjo03,PF,5,
ATL,2009,0,teaguje01,PG,0,
ATL,2009,6,westma02,SG,2,
ATL,2009,24,willima02,SF,4,
ATL,2008,10,bibbymi01,PG,10,
ATL,2008,12,claxtsp01,PG,6,
ATL,2008,1,evansma01,SF,5,
ATL,2008,3,gardnth01,SG,1,
ATL,2008,15,horfoal01,C,1,
ATL,2008,50,hunteot01,PF,0,
ATL,2008,2,johnsjo02,SG,7,
ATL,2008,44,jonesso01,C,2,
ATL,2008,4,lawac01,PG,1,
ATL,2008,33,morrira01,C,2,
ATL,2008,22,murraro01,SG,6,
ATL,2008,27,pachuza01,C,5,
ATL,2008,5,smithjo03,PF,4,
ATL,2008,6,westma02,SG,1,
ATL,2008,24,willima02,SF,3,
ATL,2007,10,bibbymi01,PG,9,
ATL,2007,1,childjo01,SF,3,
ATL,2007,15,horfoal01,C,0,
ATL,2007,8,johnsan02,PG,10,
ATL,2007,2,johnsjo02,SG,6,
ATL,2007,44,jonesso01,PF,1,
ATL,2007,4,lawac01,PG,0,
ATL,2007,10,luety01,PG,9,
ATL,2007,27,pachuza01,C,4,
ATL,2007,32,richaje01,SF,1,
ATL,2007,5,smithjo03,PF,3,
ATL,2007,20,stoudsa01,PG,2,
ATL,2007,6,westma02,SG,0,
ATL,2007,24,willima02,SF,2,
ATL,2007,33,willish02,PF,1,
ATL,2007,42,wrighlo02,C,11,
ATL,2006,11,batises01,PF,1,
ATL,2006,6,bozemce01,SG,0,
ATL,2006,1,childjo01,SG,2,
ATL,2006,12,claxtsp01,PG,5,
ATL,2006,4,freijma01,PF,1,
ATL,2006,36,iveyro01,PG,2,
ATL,2006,8,johnsan02,PG,9,
ATL,2006,2,johnsjo02,SG,5,
ATL,2006,44,jonesso01,PF,0,
ATL,2006,10,luety01,PG,8,
ATL,2006,14,medvest01,C,6,
ATL,2006,27,pachuza01,C,3,
ATL,2006,32,richaje01,SG,0,
ATL,2006,5,smithjo03,SF,2,
ATL,2006,20,stoudsa01,SG,1,
ATL,2006,7,thompdi01,SF,1,
ATL,2006,24,willima02,PF,1,
ATL,2006,33,willish02,PF,0,
ATL,2006,42,wrighlo02,C,10,
ATL,2005,11,batises01,PF,0,
ATL,2005,1,childjo01,SF,1,
ATL,2005,00,delkto01,SG,9,
ATL,2005,54,edwarjo01,C,1,
ATL,2005,16,grundan01,SG,0,
ATL,2005,3,harrial01,PF,7,
ATL,2005,36,iveyro01,PG,1,
ATL,2005,2,johnsjo02,SG,4,
ATL,2005,10,luety01,PG,7,
ATL,2005,27,pachuza01,C,2,
ATL,2005,15,smithdo04,SG,1,
ATL,2005,5,smithjo03,SF,1,
ATL,2005,20,stoudsa01,SG,0,
ATL,2005,12,thomajo02,C,4,
ATL,2005,24,willima02,PF,0,
ATL,2004,12,anderke01,PG,13,
ATL,2004,20,barryjo01,SG,12,
ATL,2004,1,childjo01,SG,0,
ATL,2004,40,collija02,C,4,
ATL,2004,00,delkto01,SG,8,
ATL,2004,13,diawbo01,SG,1,
ATL,2004,14,drobnpr01,C,3,
ATL,2004,54,ekeziob01,C,3,
ATL,2004,7,guglito01,PF,12,
ATL,2004,3,harrial01,SF,6,
ATL,2004,36,iveyro01,PG,0,
ATL,2004,10,luety01,PG,6,
ATL,2004,34,mccoyje01,C,6,
ATL,2004,2,millean01,PF,7,
ATL,2004,15,smithdo04,SG,0,
ATL,2004,5,smithjo03,SF,0,
ATL,2004,44,stewami01,PF,7,
ATL,2004,0,thomaja02,PF,0,
ATL,2004,8,walkean02,PF,8,
ATL,2004,42,willike02,C,19,
ATL,2003,3,abdursh01,PF,7,
ATL,2003,33,bradlmi01,C,2,
ATL,2003,40,collija02,C,3,
ATL,2003,4,crawfch01,PF,6,
ATL,2003,5,davisjo02,PF,0,
ATL,2003,32,diawbo01,SG,0,
ATL,2003,12,dickada01,PG,1,
ATL,2003,15,fullehi01,PF,0,
ATL,2003,5,glovedi01,SG,4,
ATL,2003,6,hansetr01,SF,0,
ATL,2003,44,hendeal01,PF,8,
ATL,2003,1,jacksst02,SF,3,
ATL,2003,2,mohamna01,C,5,
ATL,2003,34,ndiayma02,C,3,
ATL,2003,54,nailole01,PF,3,
ATL,2003,7,persowe01,SG,9,
ATL,2003,10,przybjo01,C,3,
ATL,2003,42,ratlith01,C,8,
ATL,2003,12,rebraze01,C,2,
ATL,2003,3,surabo01,SG,8,
ATL,2003,31,terryja01,PG,4,
ATL,2003,11,vaughja01,PG,6,
ATL,2003,36,wallara01,PF,8,
ATL,2002,3,abdursh01,PF,6,
ATL,2002,25,benjaco01,SG,3,
ATL,2002,4,crawfch01,PF,5,
ATL,2002,15,davisem01,SG,5,
ATL,2002,12,dickada01,PG,0,
ATL,2002,5,glovedi01,SG,3,
ATL,2002,8,hamda01,SG,5,
ATL,2002,40,harvean01,PF,7,
ATL,2002,44,hendeal01,C,7,
ATL,2002,6,jacksje01,SG,2,
ATL,2002,11,malonma01,PG,5,
ATL,2002,00,mccasam01,C,2,
ATL,2002,2,mohamna01,C,4,
ATL,2002,38,mooremi01,C,4,
ATL,2002,14,newblir01,SF,2,
ATL,2002,42,ratlith01,C,7,
ATL,2002,13,robingl01,SF,8,
ATL,2002,45,shirlpa01,PF,0,
ATL,2002,31,terryja01,PG,3,
ATL,2002,29,wilksmi01,SG,0,
ATL,2002,17,willibr01,SF,2,
ATL,2001,3,abdursh01,PF,5,
ATL,2001,6,bowdlca01,PF,2,
ATL,2001,4,crawfch01,PF,4,
ATL,2001,15,davisem01,PG,4,
ATL,2001,5,glovedi01,SG,2,
ATL,2001,44,hendeal01,PF,6,
ATL,2001,1,johnsde03,SF,1,
ATL,2001,7,kukocto01,SF,8,
ATL,2001,2,mohamna01,C,3,
ATL,2001,13,mottoha01,C,1,
ATL,2001,14,newblir01,SF,1,
ATL,2001,42,ratlith01,C,6,
ATL,2001,0,simpkdi01,PF,6,
ATL,2001,35,slatere01,PF,6,
ATL,2001,41,smithle01,C,0,
ATL,2001,30,stricma01,SF,6,
ATL,2001,31,terryja01,SG,2,
ATL,2001,11,vaughja01,PG,4,
ATL,2000,3,bowdlca01,SF,1,
ATL,2000,30,bowmair01,PG,1,
ATL,2000,2,colsose01,PG,0,
ATL,2000,4,crawfch01,PF,3,
ATL,2000,5,glovedi01,SG,1,
ATL,2000,44,hendeal01,PF,5,
ATL,2000,22,jacksji01,SF,8,
ATL,2000,10,johnsan02,PG,3,
ATL,2000,1,johnsde03,SF,0,
ATL,2000,22,knighbr01,PG,3,
ATL,2000,7,kukocto01,SF,7,
ATL,2000,12,malonma01,PG,4,
ATL,2000,7,mcleoro01,SF,2,
ATL,2000,34,millean01,PF,6,
ATL,2000,14,mohamna01,C,2,
ATL,2000,13,mottoha01,SF,0,
ATL,2000,55,mutomdi01,C,9,
ATL,2000,24,pankoan01,SF,0,
ATL,2000,20,robinla01,PG,5,
ATL,2000,24,sanchpe01,PG,0,
ATL,2000,14,smithto02,SG,8,
ATL,2000,31,terryja01,SG,1,
ATL,2000,42,wrighlo02,C,4,
ATL,1999,10,barrydr01,PG,2,
ATL,1999,3,bowdlca01,SF,0,
ATL,1999,12,colesbi01,PG,9,
ATL,1999,4,crawfch01,PF,2,
ATL,1999,20,ellisla01,PF,7,
ATL,1999,5,glovedi01,SG,0,
ATL,1999,44,hendeal01,PF,4,
ATL,1999,22,jacksji01,SF,7,
ATL,1999,24,johnsan02,PG,2,
ATL,1999,7,mcleoro01,SF,1,
ATL,1999,55,mutomdi01,C,8,
ATL,1999,34,rideris01,SG,6,
ATL,1999,31,terryja01,PG,0,
ATL,1999,42,wrighlo02,C,3,
ATL,1998,10,blaylmo01,PG,9,
ATL,1998,33,corbity01,SF,13,
ATL,1998,4,crawfch01,PF,1,
ATL,1998,20,ellisla01,PF,6,
ATL,1998,22,grayed01,SG,1,
ATL,1998,44,hendeal01,SF,3,
ATL,1998,24,johnsan02,PG,1,
ATL,1998,43,longgr01,PF,10,
ATL,1998,7,mcleoro01,SF,0,
ATL,1998,55,mutomdi01,C,7,
ATL,1998,15,sheppje01,SG,0,
ATL,1998,8,smithst01,SG,7,
ATL,1998,41,westma01,C,15,
ATL,1998,3,willish01,PG,0,
ATL,1997,0,andergr01,C,9,
ATL,1997,11,barrydr01,PG,0,
ATL,1997,10,blaylmo01,PG,8,
ATL,1997,52,brownch01,SF,8,
ATL,1997,33,corbity01,SF,12,
ATL,1997,4,crawfch01,PF,0,
ATL,1997,22,grayed01,SG,0,
ATL,1997,44,hendeal01,PF,2,
ATL,1997,32,laettch01,PF,5,
ATL,1997,7,livinra01,PG,1,
ATL,1997,2,millean01,PF,3,
ATL,1997,55,mutomdi01,C,6,
ATL,1997,31,olivebr01,SG,3,
ATL,1997,5,recasel01,SG,3,
ATL,1997,8,smithst01,SG,6,
ATL,1997,20,whitedo01,PG,1,
ATL,1996,45,alstode01,C,2,
ATL,1996,17,barryjo01,SG,4,
ATL,1996,10,blaylmo01,PG,7,
ATL,1996,24,boycedo01,SG,1,
ATL,1996,34,burtowi01,SF,5,
ATL,1996,33,corbity01,SF,11,
ATL,1996,35,hancoda01,SF,2,
ATL,1996,44,hendeal01,PF,1,
ATL,1996,42,jameshe01,PF,5,
ATL,1996,32,laettch01,PF,4,
ATL,1996,15,laudepr01,C,0,
ATL,1996,2,millean01,PF,2,
ATL,1996,55,mutomdi01,C,5,
ATL,1996,28,newbiiv01,PF,1,
ATL,1996,3,normake01,SF,9,
ATL,1996,5,recasel01,SG,2,
ATL,1996,8,smithst01,SG,5,
ATL,1995,2,augmost01,SF,4,
ATL,1995,10,blaylmo01,PG,6,
ATL,1995,24,boycedo01,SG,0,
ATL,1995,50,bullama01,PF,4,
ATL,1995,3,ehlocr01,SG,12,
ATL,1995,35,grandro01,PF,3,
ATL,1995,44,hendeal01,PF,0,
ATL,1995,22,jordare01,PG,1,
ATL,1995,7,kemptti01,PF,5,
ATL,1995,32,laettch01,C,3,
ATL,1995,28,langan01,C,7,
ATL,1995,43,longgr01,PF,7,
ATL,1995,51,mundtto01,C,0,
ATL,1995,14,nathaho01,PG,0,
ATL,1995,5,normake01,SF,8,
ATL,1995,45,rooksse01,C,3,
ATL,1995,8,smithst01,SG,4,
ATL,1995,4,webbsp01,PG,10,
ATL,1994,22,andergr01,PF,6,
ATL,1994,2,augmost01,SG,3,
ATL,1994,5,bazarse01,PG,0,
ATL,1994,10,blaylmo01,PG,5,
ATL,1994,33,corbity01,SF,9,
ATL,1994,34,edwardo01,PF,1,
ATL,1994,3,ehlocr01,SG,11,
ATL,1994,17,hovasto01,SF,0,
ATL,1994,32,koncajo01,C,9,
ATL,1994,28,langan01,C,6,
ATL,1994,14,lesji01,PG,6,
ATL,1994,43,longgr01,PF,6,
ATL,1994,4,normake01,SF,7,
ATL,1994,8,smithst01,SG,3,
ATL,1994,11,vinsofr01,SG,0,
ATL,1994,1,whatlen01,PG,8,
ATL,1994,11,wileymo01,PG,6,
ATL,1994,42,willike02,PF,9,
ATL,1993,2,augmost01,SG,2,
ATL,1993,5,baglejo01,PG,10,
ATL,1993,10,blaylmo01,PG,4,
ATL,1993,34,edwardo01,PF,0,
ATL,1993,3,ehlocr01,SG,10,
ATL,1993,33,ferredu01,SF,5,
ATL,1993,15,graceri01,PG,0,
ATL,1993,25,grahapa01,SG,2,
ATL,1993,31,keefead01,PF,1,
ATL,1993,32,koncajo01,C,8,
ATL,1993,28,langan01,C,5,
ATL,1993,5,mannida01,PF,5,
ATL,1993,1,whatlen01,PG,7,
ATL,1993,21,wilkido01,SF,11,
ATL,1993,42,willike02,PF,8,
ATL,1992,2,augmost01,SG,1,
ATL,1992,10,blaylmo01,PG,3,
ATL,1992,45,breuera01,C,9,
ATL,1992,33,ferredu01,SF,4,
ATL,1992,44,fostegr01,PF,2,
ATL,1992,25,grahapa01,SG,1,
ATL,1992,12,hensost01,PG,2,
ATL,1992,31,keefead01,PF,0,
ATL,1992,32,koncajo01,C,7,
ATL,1992,1,maystr01,PG,2,
ATL,1992,41,rasmubl01,C,7,
ATL,1992,34,sandeje01,PF,3,
ATL,1992,24,spencan01,SF,0,
ATL,1992,43,stivral01,PF,1,
ATL,1992,11,wileymo01,PG,4,
ATL,1992,21,wilkido01,SF,10,
ATL,1992,42,willike02,PF,7,
ATL,1991,2,augmost01,SG,0,
ATL,1991,10,cheekma01,PG,13,
ATL,1991,33,ferredu01,SF,3,
ATL,1991,25,grahapa01,SG,0,
ATL,1991,32,koncajo01,C,6,
ATL,1991,34,leonaga01,C,2,
ATL,1991,1,maystr01,PG,1,
ATL,1991,12,monroro01,SF,0,
ATL,1991,41,rasmubl01,C,6,
ATL,1991,22,robinru01,PG,1,
ATL,1991,34,sandeje01,SF,2,
ATL,1991,8,volkoal01,C,1,
ATL,1991,11,wileymo01,PG,3,
ATL,1991,21,wilkido01,SF,9,
ATL,1991,42,willike02,PF,6,
ATL,1990,10,battljo01,SG,5,
ATL,1990,33,ferredu01,SF,2,
ATL,1990,32,koncajo01,C,5,
ATL,1990,34,leonaga01,C,1,
ATL,1990,2,malonmo01,C,16,
ATL,1990,40,mccorti01,C,6,
ATL,1990,15,moncrsi01,SG,10,
ATL,1990,25,riverdo01,PG,7,
ATL,1990,22,robinru01,PG,0,
ATL,1990,4,webbsp01,PG,5,
ATL,1990,21,wilkido01,SF,8,
ATL,1990,42,willike02,PF,5,
ATL,1990,44,wilsotr01,PF,0,
ATL,1990,41,wrighho02,PF,0,
ATL,1989,10,battljo01,SG,4,
ATL,1989,35,carran01,PF,5,
ATL,1989,33,ferredu01,SF,1,
ATL,1989,32,koncajo01,C,4,
ATL,1989,53,levincl01,PF,7,
ATL,1989,34,longjo01,SG,11,
ATL,1989,2,malonmo01,C,15,
ATL,1989,22,marblro01,SG,0,
ATL,1989,1,matthwe01,PG,8,
ATL,1989,25,riverdo01,PG,6,
ATL,1989,31,smithke01,PG,2,
ATL,1989,11,toneyse01,PG,3,
ATL,1989,8,volkoal01,C,0,
ATL,1989,4,webbsp01,PG,4,
ATL,1989,21,wilkido01,SF,7,
ATL,1989,35,willimi03,SF,0,
ATL,1989,42,willike02,PF,4,
ATL,1989,14,workmha01,PG,0,
ATL,1988,10,battljo01,SG,3,
ATL,1988,22,bradldu01,SG,8,
ATL,1988,35,carran01,PF,4,
ATL,1988,33,ferredu01,SF,0,
ATL,1988,32,koncajo01,C,3,
ATL,1988,53,levincl01,PF,6,
ATL,1988,2,malonmo01,C,14,
ATL,1988,5,mannipa01,SF,5,
ATL,1988,25,riverdo01,PG,5,
ATL,1988,24,theusre01,SG,10,
ATL,1988,44,tolbera01,PF,4,
ATL,1988,4,webbsp01,PG,3,
ATL,1988,21,wilkido01,SF,6,
ATL,1987,12,battljo01,SG,2,
ATL,1987,33,carran01,PF,3,
ATL,1987,44,hastisc01,PF,5,
ATL,1987,32,koncajo01,C,2,
ATL,1987,53,levincl01,PF,5,
ATL,1987,40,mcgeemi01,SG,6,
ATL,1987,25,riverdo01,PG,4,
ATL,1987,30,rollitr01,C,10,
ATL,1987,50,washbch01,C,1,
ATL,1987,4,webbsp01,PG,2,
ATL,1987,1,whatlen01,PG,4,
ATL,1987,21,wilkido01,SF,5,
ATL,1987,42,willike02,PF,3,
ATL,1987,10,wittmra01,SG,4,
ATL,1987,1,woodle01,PG,3,
ATL,1986,12,battljo01,SG,1,
ATL,1986,33,carran01,PF,2,
ATL,1986,44,hastisc01,PF,4,
ATL,1986,24,hendece01,PF,0,
ATL,1986,32,koncajo01,C,1,
ATL,1986,53,levincl01,PF,4,
ATL,1986,40,mcgeemi01,SF,5,
ATL,1986,25,riverdo01,PG,3,
ATL,1986,30,rollitr01,C,9,
ATL,1986,4,webbsp01,PG,1,
ATL,1986,21,wilkido01,SF,4,
ATL,1986,1,willigu01,SG,10,
ATL,1986,42,willike02,PF,2,
ATL,1986,15,wilsomi01,PG,2,
ATL,1986,10,wittmra01,SG,3,
ATL,1985,12,battljo01,SG,0,
ATL,1985,33,carran01,PF,1,
ATL,1985,43,charllo01,SF,0,
ATL,1985,16,davisjo01,SG,9,
ATL,1985,44,hastisc01,PF,3,
ATL,1985,3,johnsed02,SG,8,
ATL,1985,32,koncajo01,C,0,
ATL,1985,53,levincl01,PF,3,
ATL,1985,25,riverdo01,PG,2,
ATL,1985,30,rollitr01,C,8,
ATL,1985,12,toneyse01,PG,0,
ATL,1985,4,webbsp01,PG,0,
ATL,1985,21,wilkido01,SF,3,
ATL,1985,1,willira01,PG,8,
ATL,1985,42,willike02,PF,1,
ATL,1985,10,wittmra01,SG,2,
ATL,1984,31,brownri01,C,4,
ATL,1984,33,carran01,PF,0,
ATL,1984,14,crissch01,PG,7,
ATL,1984,5,eavesje01,PG,2,
ATL,1984,34,glennmi01,SG,7,
ATL,1984,20,grangst01,PG,1,
ATL,1984,44,hastisc01,PF,2,
ATL,1984,3,johnsed02,SG,7,
