PlayerID,Season,Team,Lg,Salary
aabdelal01,1990,Portland Trail Blazers,NBA,395000
aabdelal01,1991,Portland Trail Blazers,NBA,494000
aabdelal01,1992,Boston Celtics,NBA,500000
aabdelal01,1993,Boston Celtics,NBA,805000
aabdelal01,1994,Sacramento Kings,NBA,650000
aabdulka01,1985,Los Angeles Lakers,NBA,2030000
aabdulka01,1987,Los Angeles Lakers,NBA,2000000
aabdulka01,1988,Los Angeles Lakers,NBA,3000000
aabdulma02,1990,Denver Nuggets,NBA,1660000
aabdulma02,1991,Denver Nuggets,NBA,2008000
aabdulma02,1992,Denver Nuggets,NBA,2358000
aabdulma02,1993,Denver Nuggets,NBA,1825000
aabdulma02,1994,Denver Nuggets,NBA,2200000
aabdulma02,1995,Denver Nuggets,NBA,2600000
aabdulma02,1996,Sacramento Kings,NBA,3100000
aabdulma02,1997,Sacramento Kings,NBA,3300000
aabdulma02,2000,Vancouver Grizzlies,NBA,798500
aabdulta01,1997,Sacramento Kings,NBA,1226880
aabdulta01,1998,Sacramento Kings,NBA,1411000
aabdulta01,1999,Denver Nuggets,NBA,1594920
aabdulta01,2000,Denver Nuggets,NBA,4500000
aabdulta01,2001,Denver Nuggets,NBA,5062500
aabdulta01,2002,Dallas Mavericks,NBA,5625000
aabdulta01,2003,Dallas Mavericks,NBA,6187500
aabdulta01,2004,Dallas Mavericks,NBA,6750000
aabdulta01,2005,Dallas Mavericks,NBA,3656250
aabdulta01,2006,Dallas Mavericks,NBA,1968750
aabdursh01,1996,Vancouver Grizzlies,NBA,2186000
aabdursh01,1999,Vancouver Grizzlies,NBA,9000000
aabdursh01,2000,Vancouver Grizzlies,NBA,10130000
aabdursh01,2001,Atlanta Hawks,NBA,11250000
aabdursh01,2002,Atlanta Hawks,NBA,12375000
aabdursh01,2003,Atlanta Hawks,NBA,13500000
aabdursh01,2004,Portland Trail Blazers,NBA,14625000
aabdursh01,2005,Sacramento Kings,NBA,5000000
aabdursh01,2006,Sacramento Kings,NBA,5400000
aabdursh01,2007,Sacramento Kings,NBA,5800000
aabdursh01,2009,Sacramento Kings,NBA,6600000
aackeral01,2005,Detroit Pistons,NBA,398762
aackeral01,2006,Detroit Pistons,NBA,839209
aackeral01,2008,Los Angeles Clippers,NBA,711517
aacresma01,1987,Boston Celtics,NBA,75000
aacresma01,1988,Boston Celtics,NBA,300000
aacresma01,1990,Orlando Magic,NBA,437000
aacresma01,1991,Orlando Magic,NBA,547000
aacresma01,1992,Houston Rockets,NBA,250000
aacyqu01,2012,Toronto Raptors,NBA,665000
aacyqu01,2013,Toronto Raptors,NBA,788872
aacyqu01,2014,New York Knicks,NBA,915243
aadamsal01,1985,Phoenix Suns,NBA,600000
aadamsal01,1987,Phoenix Suns,NBA,675000
aadamsha01,2006,New Jersey Nets,NBA,412718
aadamsha01,2008,Los Angeles Clippers,NBA,297163
aadamsjo01,2014,Memphis Grizzlies,NBA,1344120
aadamsmi01,1985,Sacramento Kings,NBA,85000
aadamsmi01,1987,Denver Nuggets,NBA,160000
aadamsmi01,1988,Denver Nuggets,NBA,375000
aadamsmi01,1990,Denver Nuggets,NBA,825000
aadamsmi01,1991,Washington Bullets,NBA,1309000
aadamsmi01,1992,Washington Bullets,NBA,1309000
aadamsmi01,1993,Washington Bullets,NBA,1309000
aadamsmi01,1994,Charlotte Hornets,NBA,1240000
aadamsst01,2013,Oklahoma City Thunder,NBA,2090880
aadamsst01,2014,Oklahoma City Thunder,NBA,2184960
