season,team_id,team,AVGSALARY
2002,ATL,"Atlanta Hawks",3095086.05555556
2003,ATL,"Atlanta Hawks",4606952.85714286
2004,ATL,"Atlanta Hawks",2566226.0
2005,ATL,"Atlanta Hawks",2862970.2
2006,ATL,"Atlanta Hawks",2556945.89473684
2007,ATL,"Atlanta Hawks",4269317.92307692
2008,ATL,"Atlanta Hawks",4544589.4
2009,ATL,"Atlanta Hawks",4705974.42857143
2010,ATL,"Atlanta Hawks",5104988.78571429
2011,ATL,"Atlanta Hawks",4604369.5
2002,BOS,"Boston Celtics",4042168.84615385
2003,BOS,"Boston Celtics",4012394.33333333
2004,BOS,"Boston Celtics",3798668.0
2005,BOS,"Boston Celtics",3347488.23529412
2006,BOS,"Boston Celtics",3496193.27777778
2007,BOS,"Boston Celtics",5721433.53846154
2008,BOS,"Boston Celtics",6091459.46153846
2009,BOS,"Boston Celtics",5968012.42857143
2010,BOS,"Boston Celtics",5860419.07142857
2011,BOS,"Boston Celtics",5321368.66666667
2004,CHA,"Charlotte Bobcats",1495161.125
2005,CHA,"Charlotte Bobcats",2230595.46666667
2006,CHA,"Charlotte Bobcats",2468473.29411765
2007,CHA,"Charlotte Bobcats",3583031.2
2008,CHA,"Charlotte Bobcats",3698054.47058824
2009,CHA,"Charlotte Bobcats",4905839.85714286
2010,CHA,"Charlotte Bobcats",3696816.44444444
2011,CHA,"Charlotte Bobcats",3860134.93333333
2002,CHI,"Chicago Bulls",2619476.17647059
2003,CHI,"Chicago Bulls",3468112.3125
2004,CHI,"Chicago Bulls",2934581.21052632
2005,CHI,"Chicago Bulls",3362737.05882353
2006,CHI,"Chicago Bulls",3422181.5
2007,CHI,"Chicago Bulls",3710833.29411765
2008,CHI,"Chicago Bulls",4866198.14285714
2009,CHI,"Chicago Bulls",4100021.11764706
2010,CHI,"Chicago Bulls",4195236.61538462
2011,CHI,"Chicago Bulls",4967746.21428571
2002,CLE,"Cleveland Cavaliers",3307363.2
2003,CLE,"Cleveland Cavaliers",2886654.5
2004,CLE,"Cleveland Cavaliers",3278351.6
2005,CLE,"Cleveland Cavaliers",3420264.13333333
2006,CLE,"Cleveland Cavaliers",4199515.26666667
2007,CLE,"Cleveland Cavaliers",5481172.2
2008,CLE,"Cleveland Cavaliers",5706139.5625
2009,CLE,"Cleveland Cavaliers",4905796.11764706
2010,CLE,"Cleveland Cavaliers",3175883.58823529
2011,CLE,"Cleveland Cavaliers",3604199.94444444
2002,DAL,"Dallas Mavericks",4052239.77777778
2003,DAL,"Dallas Mavericks",5654985.14285714
2004,DAL,"Dallas Mavericks",5406379.0
2005,DAL,"Dallas Mavericks",4922741.6
2006,DAL,"Dallas Mavericks",4653781.36842105
2007,DAL,"Dallas Mavericks",6355929.9375
2008,DAL,"Dallas Mavericks",5590915.23529412
2009,DAL,"Dallas Mavericks",6351148.21428571
2010,DAL,"Dallas Mavericks",5338118.125
2011,DAL,"Dallas Mavericks",5727954.53846154
2002,DNN,"Denver Nuggets",2584695.21052632
2003,DNN,"Denver Nuggets",2462415.375
2004,DNN,"Denver Nuggets",3265463.0
2005,DNN,"Denver Nuggets",3766144.8
2006,DNN,"Denver Nuggets",4674484.0
2007,DNN,"Denver Nuggets",5184889.1875
2008,DNN,"Denver Nuggets",4674733.53333333
2009,DNN,"Denver Nuggets",5352538.42857143
2010,DNN,"Denver Nuggets",4858520.71428571
2011,DNN,"Denver Nuggets",3903544.86666667
2002,DET,"Detroit Pistons",2986118.0
2003,DET,"Detroit Pistons",3562855.6
2004,DET,"Detroit Pistons",3422655.0625
2005,DET,"Detroit Pistons",3726204.6875
2006,DET,"Detroit Pistons",3688184.4375
2007,DET,"Detroit Pistons",4118679.6875
2008,DET,"Detroit Pistons",5494936.46153846
2009,DET,"Detroit Pistons",4012388.86666667
2010,DET,"Detroit Pistons",4646015.5
2011,DET,"Detroit Pistons",4728240.33333333
2002,GSW,"Golden State Warriors",2983607.1875
2003,GSW,"Golden State Warriors",2965372.66666667
2004,GSW,"Golden State Warriors",3662914.86666667
2005,GSW,"Golden State Warriors",4079611.85714286
2006,GSW,"Golden State Warriors",3250618.4
2007,GSW,"Golden State Warriors",3270963.31578947
2008,GSW,"Golden State Warriors",3962306.82352941
2009,GSW,"Golden State Warriors",3439598.52631579
2010,GSW,"Golden State Warriors",4561022.4
2011,GSW,"Golden State Warriors",3622170.64705882
2002,HOU,"Houston Rockets",3336324.33333333
2003,HOU,"Houston Rockets",3258907.64705882
2004,HOU,"Houston Rockets",3767768.9375
2005,HOU,"Houston Rockets",3297971.61904762
2006,HOU,"Houston Rockets",3546531.44444444
2007,HOU,"Houston Rockets",4086291.23529412
2008,HOU,"Houston Rockets",4311898.35294118
2009,HOU,"Houston Rockets",3627103.73684211
2010,HOU,"Houston Rockets",4821043.6
2011,HOU,"Houston Rockets",3563859.6875
2002,IND,"Indiana Pacers",3819451.64285714
2003,IND,"Indiana Pacers",3877082.4
2004,IND,"Indiana Pacers",3477093.68421053
2005,IND,"Indiana Pacers",4924486.1875
2006,IND,"Indiana Pacers",3706997.94117647
2007,IND,"Indiana Pacers",4417349.73333333
2008,IND,"Indiana Pacers",4354301.125
2009,IND,"Indiana Pacers",4170828.5625
2010,IND,"Indiana Pacers",4068039.375
2011,IND,"Indiana Pacers",3682434.5
2002,LAC,"Los Angeles Clippers",2386432.05555556
2003,LAC,"Los Angeles Clippers",2583162.13333333
2004,LAC,"Los Angeles Clippers",3248804.64285714
2005,LAC,"Los Angeles Clippers",3021096.76470588
2006,LAC,"Los Angeles Clippers",2818144.66666667
2007,LAC,"Los Angeles Clippers",3814585.0
2008,LAC,"Los Angeles Clippers",3303379.26315789
2009,LAC,"Los Angeles Clippers",3423133.83333333
2010,LAC,"Los Angeles Clippers",3326583.0625
