SEASON,team_id,TEAM,VARIANCE
2002,ATL,"Atlanta Hawks",16349676074218.4
2003,ATL,"Atlanta Hawks",21787762644379.2
2004,ATL,"Atlanta Hawks",15070078527138.6
2005,ATL,"Atlanta Hawks",11403385110777.8
2006,ATL,"Atlanta Hawks",11808049529806.7
2007,ATL,"Atlanta Hawks",20076076348871.5
2008,ATL,"Atlanta Hawks",23807499666363.8
2009,ATL,"Atlanta Hawks",20982220443714.0
2010,ATL,"Atlanta Hawks",26963630085797.1
2011,ATL,"Atlanta Hawks",29799858838635.3
2002,BOS,"Boston Celtics",20976690955455.7
2003,BOS,"Boston Celtics",17306183182194.2
2004,BOS,"Boston Celtics",11524860095731.3
2005,BOS,"Boston Celtics",15143961716294.0
2006,BOS,"Boston Celtics",20463388518705.7
2007,BOS,"Boston Celtics",62293628411086.3
2008,BOS,"Boston Celtics",74863064795818.7
2009,BOS,"Boston Celtics",51585776981673.6
2010,BOS,"Boston Celtics",33389865973327.0
2011,BOS,"Boston Celtics",40458186366994.7
2004,CHA,"Charlotte Bobcats",9164832501553.59
2005,CHA,"Charlotte Bobcats",5751966662946.41
2006,CHA,"Charlotte Bobcats",5401404910894.67
2007,CHA,"Charlotte Bobcats",11106134591833.8
2008,CHA,"Charlotte Bobcats",12073814549515.6
2009,CHA,"Charlotte Bobcats",13892964914199.3
2010,CHA,"Charlotte Bobcats",8871647389628.87
2011,CHA,"Charlotte Bobcats",9232562395518.16
2002,CHI,"Chicago Bulls",10491523702614.2
2003,CHI,"Chicago Bulls",9978256596213.91
2004,CHI,"Chicago Bulls",9685501090643.16
2005,CHI,"Chicago Bulls",12349438809019.7
2006,CHI,"Chicago Bulls",15565198292184.6
2007,CHI,"Chicago Bulls",14118040589943.8
2008,CHI,"Chicago Bulls",14027946995708.1
2009,CHI,"Chicago Bulls",13468447585029.3
2010,CHI,"Chicago Bulls",17982292719878.8
2011,CHI,"Chicago Bulls",21976449242288.0
2002,CLE,"Cleveland Cavaliers",10726188642919.7
2003,CLE,"Cleveland Cavaliers",12144668903348.2
2004,CLE,"Cleveland Cavaliers",11905902187305.8
2005,CLE,"Cleveland Cavaliers",9631900285095.42
2006,CLE,"Cleveland Cavaliers",13572703773721.4
2007,CLE,"Cleveland Cavaliers",28477347148720.4
2008,CLE,"Cleveland Cavaliers",30515591274421.8
2009,CLE,"Cleveland Cavaliers",35357790388524.3
2010,CLE,"Cleveland Cavaliers",18374794577801.9
2011,CLE,"Cleveland Cavaliers",20249312647628.8
2002,DAL,"Dallas Mavericks",14994176522628.4
2003,DAL,"Dallas Mavericks",26047418054889.7
2004,DAL,"Dallas Mavericks",18362776521253.3
2005,DAL,"Dallas Mavericks",26742524737932.9
2006,DAL,"Dallas Mavericks",24679471649230.0
2007,DAL,"Dallas Mavericks",51846585642938.5
2008,DAL,"Dallas Mavericks",43884188437355.5
2009,DAL,"Dallas Mavericks",33712046389106.8
2010,DAL,"Dallas Mavericks",30265765682781.7
2011,DAL,"Dallas Mavericks",34960557097468.7
2002,DEN,"Denver Nuggets",23883544933086.4
2003,DEN,"Denver Nuggets",7559424176471.82
2004,DEN,"Denver Nuggets",9587907029131.48
2005,DEN,"Denver Nuggets",10277174428984.2
2006,DEN,"Denver Nuggets",26698754878689.6
2007,DEN,"Denver Nuggets",36949074720228.9
2008,DEN,"Denver Nuggets",26489816708226.9
2009,DEN,"Denver Nuggets",33078105186141.5
2010,DEN,"Denver Nuggets",21160177562959.3
2011,DEN,"Denver Nuggets",12078122492292.5
2002,DET,"Detroit Pistons",5527805962718.4
2003,DET,"Detroit Pistons",4122424782017.88
2004,DET,"Detroit Pistons",9266415243916.85
2005,DET,"Detroit Pistons",10135554136185.7
2006,DET,"Detroit Pistons",12888371868633.0
2007,DET,"Detroit Pistons",16060195760319.5
2008,DET,"Detroit Pistons",42707727849024.4
2009,DET,"Detroit Pistons",14796884147500.7
2010,DET,"Detroit Pistons",16908519680887.4
2011,DET,"Detroit Pistons",15205486257114.7
2002,DNN,"Denver Nuggets",23883544933086.4
2003,DNN,"Denver Nuggets",7559424176471.82
2004,DNN,"Denver Nuggets",9587907029131.48
2005,DNN,"Denver Nuggets",10277174428984.2
2006,DNN,"Denver Nuggets",26698754878689.6
2007,DNN,"Denver Nuggets",36949074720228.9
2008,DNN,"Denver Nuggets",26489816708226.9
2009,DNN,"Denver Nuggets",33078105186141.5
2010,DNN,"Denver Nuggets",21160177562959.3
2011,DNN,"Denver Nuggets",12078122492292.5
2002,GSW,"Golden State Warriors",10488648415817.1
2003,GSW,"Golden State Warriors",10788530357827.8
2004,GSW,"Golden State Warriors",6566140090201.73
2005,GSW,"Golden State Warriors",15949673811416.3
2006,GSW,"Golden State Warriors",17316342118708.3
2007,GSW,"Golden State Warriors",17848813052233.1
2008,GSW,"Golden State Warriors",13637745899426.3
2009,GSW,"Golden State Warriors",11694900250474.0
2010,GSW,"Golden State Warriors",18389776910224.6
2011,GSW,"Golden State Warriors",14403414311299.6
2002,HOU,"Houston Rockets",7775507218658.4
2003,HOU,"Houston Rockets",10641970427998.6
2004,HOU,"Houston Rockets",13148545405346.4
2005,HOU,"Houston Rockets",13130369970381.9
2006,HOU,"Houston Rockets",20476400694097.1
2007,HOU,"Houston Rockets",25048069409474.9
2008,HOU,"Houston Rockets",29899727226287.0
2009,HOU,"Houston Rockets",17020983421876.8
2010,HOU,"Houston Rockets",21883452297532.0
2011,HOU,"Houston Rockets",10606493497168.0
2002,IND,"Indiana Pacers",11724931791572.7
2003,IND,"Indiana Pacers",12655313393565.8
2004,IND,"Indiana Pacers",14823656681163.6
2005,IND,"Indiana Pacers",16450593418166.2
2006,IND,"Indiana Pacers",20867354127836.4
2007,IND,"Indiana Pacers",27008858599107.5
2008,IND,"Indiana Pacers",11129412650353.7
2009,IND,"Indiana Pacers",13702849828076.4
2010,IND,"Indiana Pacers",12899109495414.9
2011,IND,"Indiana Pacers",12568324934606.1
2002,LAC,"Los Angeles Clippers",5144035984002.13
2003,LAC,"Los Angeles Clippers",10027247767946.8
2004,LAC,"Los Angeles Clippers",13996572649920.3
2005,LAC,"Los Angeles Clippers",14026224593150.7
2006,LAC,"Los Angeles Clippers",15053918906080.6
2007,LAC,"Los Angeles Clippers",17666561587158.5
2008,LAC,"Los Angeles Clippers",20218607098785.8
2009,LAC,"Los Angeles Clippers",11099478144945.1
2010,LAC,"Los Angeles Clippers",10725492577834.7
2011,LAC,"Los Angeles Clippers",20158444146549.6
2002,LAL,"Los Angeles Lakers",40356913611530.4
2003,LAL,"Los Angeles Lakers",43385467739500.6
2004,LAL,"Los Angeles Lakers",21307417837084.8
2005,LAL,"Los Angeles Lakers",25176562811727.7
2006,LAL,"Los Angeles Lakers",30837537830655.7
2007,LAL,"Los Angeles Lakers",36739623674931.2
2008,LAL,"Los Angeles Lakers",44335872150793.0
2009,LAL,"Los Angeles Lakers",52725965635958.5
2010,LAL,"Los Angeles Lakers",60476012762574.9
2011,LAL,"Los Angeles Lakers",58658158968021.6
2002,MEM,"Memphis Grizzlies",10685768460173.9
2003,MEM,"Memphis Grizzlies",5912820895834.83
2004,MEM,"Memphis Grizzlies",6667228502396.72
2005,MEM,"Memphis Grizzlies",16621616000172.5
2006,MEM,"Memphis Grizzlies",19107266462714.4
2007,MEM,"Memphis Grizzlies",10184645549438.6
2008,MEM,"Memphis Grizzlies",6689046046121.66
2009,MEM,"Memphis Grizzlies",14444470887850.9
2010,MEM,"Memphis Grizzlies",24672891105417.1
2011,MEM,"Memphis Grizzlies",28033878035730.7
2002,MIA,"Miami Heat",34676281529468.8
2003,MIA,"Miami Heat",19560868791554.0
2004,MIA,"Miami Heat",50766919036979.2
2005,MIA,"Miami Heat",23226363523815.2
2006,MIA,"Miami Heat",24553995071004.6
2007,MIA,"Miami Heat",23449482051219.4
2008,MIA,"Miami Heat",36480210631886.2
2009,MIA,"Miami Heat",44045063087916.8
2010,MIA,"Miami Heat",27735877783010.0
2011,MIA,"Miami Heat",35299462629534.2
2002,MIL,"Milwaukee Bucks",15035330724845.7
2003,MIL,"Milwaukee Bucks",11056485409811.3
2004,MIL,"Milwaukee Bucks",12316946537394.1
2005,MIL,"Milwaukee Bucks",12071757522008.7
2006,MIL,"Milwaukee Bucks",13307962064867.3
2007,MIL,"Milwaukee Bucks",15414950480459.4
2008,MIL,"Milwaukee Bucks",19337986063905.0
2009,MIL,"Milwaukee Bucks",19041477369145.5
2010,MIL,"Milwaukee Bucks",24937379669304.3
2011,MIL,"Milwaukee Bucks",11278047513029.3
2002,MIN,"Minnesota Timberwolves",40989632380645.7
2003,MIN,"Minnesota Timberwolves",55472714028032.0
2004,MIN,"Minnesota Timberwolves",27980236074769.9
2005,MIN,"Minnesota Timberwolves",20273351871590.8
2006,MIN,"Minnesota Timberwolves",26473312373679.6
2007,MIN,"Minnesota Timberwolves",8583050950863.92
2008,MIN,"Minnesota Timberwolves",8831706278049.89
2009,MIN,"Minnesota Timberwolves",9597472255170.29
2010,MIN,"Minnesota Timberwolves",7758279738573.92
2011,MIN,"Minnesota Timberwolves",2502112559147.09
2002,NJN,"New Jersey Nets",18120032529252.5
2003,NJN,"New Jersey Nets",18033246009375.0
2004,NJN,"New Jersey Nets",29994751801073.5
2005,NJN,"New Jersey Nets",24815036484634.6
2006,NJN,"New Jersey Nets",30670033885416.8
2007,NJN,"New Jersey Nets",14571262165327.6
2008,NJN,"New Jersey Nets",16488534108266.3
2009,NJN,"New Jersey Nets",7480019564229.67
2010,NJN,"New Jersey Nets",14218318711105.5
2011,NJN,"New Jersey Nets",17817629999014.7
2002,NOH,"New Orleans Hornets",7493242866970.31
2003,NOH,"New Orleans Hornets",10747509594460.6
2004,NOH,"New Orleans Hornets",15045555872931.8
2007,NOH,"New Orleans Hornets",14236967029728.4
2008,NOH,"New Orleans Hornets",16376758671398.0
2009,NOH,"New Orleans Hornets",24714018354413.4
2010,NOH,"New Orleans Hornets",17490325927075.3
2011,NOH,"New Orleans Hornets",18315953645081.1
2005,NOH,"New Orleans/Oklahoma City Hornets",6949573041865.87
2006,NOH,"New Orleans/Oklahoma City Hornets",11756729676108.7
2002,NYK,"New York Knicks",21988276895831.3
2003,NYK,"New York Knicks",23893284807327.6
2004,NYK,"New York Knicks",36916505917522.4
2005,NYK,"New York Knicks",42590579690266.7
2006,NYK,"New York Knicks",31651128684843.4
2007,NYK,"New York Knicks",28016804096120.8
2008,NYK,"New York Knicks",41435487636775.0
2009,NYK,"New York Knicks",39273604295345.8
