PlayerID,Season,Team,Lg,Salary
aaventan01,1992,Milwaukee Bucks,NBA,500000
aaventan01,1993,Orlando Magic,NBA,650000
aaventan01,1994,Orlando Magic,NBA,800000
aaventan01,1995,Vancouver Grizzlies,NBA,950000
aaventan01,1999,Los Angeles Clippers,NBA,510000
aaverywi01,1999,Minnesota Timberwolves,NBA,1196520
aaverywi01,2000,Minnesota Timberwolves,NBA,1286160
aaverywi01,2001,Minnesota Timberwolves,NBA,1375920
aayongu01,2011,New Orleans Hornets,NBA,1567500
aayongu01,2012,Milwaukee Bucks,NBA,1500000
aayongu01,2013,Atlanta Hawks,NBA,1500000
ppendeje02,2009,Portland Trail Blazers,NBA,457588
ppendeje02,2011,Indiana Pacers,NBA,1500000
ppendeje02,2012,Indiana Pacers,NBA,1500000
ppendeje02,2013,San Antonio Spurs,NBA,1750000
ppendeje02,2014,San Antonio Spurs,NBA,1828750
aazubuke01,2006,Golden State Warriors,NBA,251657
aazubuke01,2006,Houston Rockets,NBA,50000
aazubuke01,2007,Golden State Warriors,NBA,687456
aazubuke01,2008,Golden State Warriors,NBA,2900000
aazubuke01,2009,Golden State Warriors,NBA,3132000
aazubuke01,2010,New York Knicks,NBA,3300000
aazubuke01,2012,Cleveland Cavaliers,NBA,885120
bbabbilu01,2010,Portland Trail Blazers,NBA,1645440
bbabbilu01,2011,Portland Trail Blazers,NBA,1768800
bbabbilu01,2012,Portland Trail Blazers,NBA,1892280
bbabbilu01,2014,New Orleans Pelicans,NBA,981084
bbabicmi01,1990,Cleveland Cavaliers,NBA,200000
bbagarda01,2000,Chicago Bulls,NBA,795000
bbagarda01,2001,Chicago Bulls,NBA,854640
bbagarda01,2002,Chicago Bulls,NBA,830947
bbagarda01,2003,Chicago Bulls,NBA,1599076
bbaglejo01,1985,Cleveland Cavaliers,NBA,300000
bbaglejo01,1987,New Jersey Nets,NBA,475000
bbaglejo01,1988,New Jersey Nets,NBA,500000
bbaglejo01,1990,Boston Celtics,NBA,550000
bbaglejo01,1991,Boston Celtics,NBA,550000
bbaglejo01,1992,Boston Celtics,NBA,550000
bbaglejo01,1993,Boston Celtics,NBA,600000
