PlayerID,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
aaventan01,1992,23,MIL,NBA,PF,82,78,2285,347,802,.433,0,2,.000,347,800,.434,.433,112,172,.651,180,332,512,91,57,73,140,237,806
aaventan01,1993,24,TOT,NBA,PF,74,40,1371,150,398,.377,0,0,,150,398,.377,.377,89,123,.724,144,194,338,65,33,31,85,147,389
aaventan01,1993,24,MIL,NBA,PF,33,20,695,92,228,.404,0,0,,92,228,.404,.404,61,79,.772,60,94,154,33,16,20,43,60,245
aaventan01,1993,24,ORL,NBA,PF,41,20,676,58,170,.341,0,0,,58,170,.341,.341,28,44,.636,84,100,184,32,17,11,42,87,144
aaventan01,1994,25,ORL,NBA,PF,71,3,1066,105,244,.430,0,0,,105,244,.430,.430,48,75,.640,97,196,293,41,28,50,53,170,258
aaventan01,1995,26,VAN,NBA,PF,71,32,1586,179,466,.384,0,0,,179,466,.384,.384,57,77,.740,108,247,355,69,30,42,107,202,415
aaventan01,1996,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaventan01,1997,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaventan01,1998,29,UTA,NBA,PF,5,0,44,4,13,.308,0,0,,4,13,.308,.308,1,2,.500,8,4,12,1,2,0,7,6,9
aaventan01,1999,30,LAC,NBA,PF,49,3,377,29,96,.302,0,0,,29,96,.302,.302,23,32,.719,23,51,74,11,16,15,24,62,81
aaveribi01,1973,21,SAA,ABA,SG,74,,1639,343,912,.376,9,50,.180,334,862,.387,.381,156,224,.696,44,77,121,132,63,6,137,166,851
aaveribi01,1974,22,KEN,ABA,SG,84,,2031,422,1014,.416,7,47,.149,415,967,.429,.420,249,320,.778,51,134,185,319,87,13,232,212,1100
aaveribi01,1975,23,KEN,ABA,SG,78,,2272,546,1274,.429,40,128,.313,506,1146,.442,.444,266,346,.769,55,158,213,297,106,22,221,208,1398
aaveribi01,1976,24,BUF,NBA,SG,75,,1136,234,619,.378,,,,234,619,.378,.378,121,169,.716,20,58,78,134,30,5,,127,589
aaveribi01,1977,25,TOT,NBA,SG,55,,1085,198,484,.409,,,,198,484,.409,.409,100,141,.709,17,66,83,196,39,9,143,123,496
aaveribi01,1977,25,NJN,NBA,SG,21,,409,69,188,.367,,,,69,188,.367,.367,36,45,.800,7,26,33,68,17,1,55,37,174
aaveribi01,1977,25,BUF,NBA,SG,34,,676,129,296,.436,,,,129,296,.436,.436,64,96,.667,10,40,50,128,22,8,88,86,322
aaverywi01,1999,20,MIN,NBA,PG,59,1,484,56,181,.309,18,63,.286,38,118,.322,.359,24,36,.667,8,32,40,88,14,2,42,60,154
aaverywi01,2000,21,MIN,NBA,PG,55,0,463,55,144,.382,16,59,.271,39,85,.459,.438,28,36,.778,5,24,29,75,13,4,45,48,154
aaverywi01,2001,22,MIN,NBA,PG,28,0,258,26,90,.289,6,35,.171,20,55,.364,.322,13,19,.684,4,20,24,36,7,0,19,17,71
aawtrede01,1970,22,PHI,NBA,C,70,,1292,200,421,.475,,,,200,421,.475,.475,104,157,.662,,,430,89,,,,211,504
aawtrede01,1971,23,PHI,NBA,C,58,,794,98,222,.441,,,,98,222,.441,.441,49,76,.645,,,248,51,,,,141,245
aawtrede01,1972,24,TOT,NBA,C,82,,1687,146,305,.479,,,,146,305,.479,.479,86,153,.562,,,447,224,,,,234,378
aawtrede01,1972,24,PHI,NBA,C,3,,37,3,7,.429,,,,3,7,.429,.429,1,4,.250,,,14,2,,,,8,7
aawtrede01,1972,24,CHI,NBA,C,79,,1650,143,298,.480,,,,143,298,.480,.480,85,149,.570,,,433,222,,,,226,371
aawtrede01,1973,25,CHI,NBA,C,68,,756,65,123,.528,,,,65,123,.528,.528,54,94,.574,49,125,174,86,22,14,,128,184
aawtrede01,1974,26,PHO,NBA,C,82,,2837,339,722,.470,,,,339,722,.470,.470,132,195,.677,242,462,704,342,60,52,,227,810
aawtrede01,1975,27,PHO,NBA,C,74,,1376,142,304,.467,,,,142,304,.467,.467,75,109,.688,93,200,293,159,21,22,,153,359
aawtrede01,1976,28,PHO,NBA,C,72,,1760,160,373,.429,,,,160,373,.429,.429,91,126,.722,111,245,356,182,23,31,,170,411
aawtrede01,1977,29,PHO,NBA,C,81,,1623,112,264,.424,,,,112,264,.424,.424,69,109,.633,97,205,302,163,19,25,127,153,293
aawtrede01,1978,30,TOT,NBA,C,63,,746,44,107,.411,,,,44,107,.411,.411,41,56,.732,42,109,151,69,16,13,52,106,129
aawtrede01,1978,30,BOS,NBA,C,23,,247,17,44,.386,,,,17,44,.386,.386,16,20,.800,13,34,47,20,3,6,21,37,50
aawtrede01,1978,30,SEA,NBA,C,40,,499,27,63,.429,,,,27,63,.429,.429,25,36,.694,29,75,104,49,13,7,31,69,79
aawtrede01,1979,31,CHI,NBA,C,26,,560,27,60,.450,0,0,,27,60,.450,.450,32,50,.640,29,86,115,40,12,15,27,66,86
aawtrede01,1980,32,SEA,NBA,C,47,,607,44,93,.473,0,0,,44,93,.473,.473,14,20,.700,33,75,108,54,12,8,33,85,102
aawtrede01,1981,33,POR,NBA,C,10,3,121,5,15,.333,0,0,,5,15,.333,.333,5,9,.556,7,7,14,8,1,2,6,28,15
aayongu01,2011,26,NOH,NBA,PF,54,24,1088,140,261,.536,0,1,.000,140,260,.538,.536,39,63,.619,86,179,265,74,53,46,46,118,319
aayongu01,2012,27,TOT,NBA,C,55,3,734,92,167,.551,0,0,,92,167,.551,.551,20,50,.400,60,139,199,71,22,17,47,107,204
aayongu01,2012,27,ORL,NBA,C,43,3,571,67,125,.536,0,0,,67,125,.536,.536,19,38,.500,40,100,140,59,13,13,38,83,153
aayongu01,2012,27,MIL,NBA,C,12,0,163,25,42,.595,0,0,,25,42,.595,.595,1,12,.083,20,39,59,12,9,4,9,24,51
aayongu01,2013,28,ATL,NBA,C,26,14,429,52,102,.510,0,0,,52,102,.510,.510,8,20,.400,42,83,125,28,25,10,29,47,112
ppendeje02,2009,22,POR,NBA,C,39,4,405,43,65,.662,0,0,,43,65,.662,.662,18,20,.900,25,73,98,1,7,16,12,76,104
