Team_id,City,State,Seaons,First_Season,Last_Season,Wins,Losses,Win_Lose_Percentage,Playoff_Appearances,Championships
ATL,Atlanta,Georgi,66,1949,2014,2582,2609,0.497,43,1
BOS,Boston,Massachusett,69,1946,2014,3149,2211,0.588,51,17
NJN,Brooklyn,New Yor,48,1967,2014,1694,2165,0.439,25,2
CHA,Charlotte,North Carolin,25,1988,2014,856,1112,0.435,9,0
CHI,Chicago,Illinoi,49,1966,2014,2053,1883,0.522,33,6
CLE,Cleveland,Ohi,45,1970,2014,1648,1962,0.457,18,0
DAL,Dallas,Texa,35,1980,2014,1423,1367,0.510,19,1
DEN,Denver,Colorad,48,1967,2014,1932,1928,0.501,33,0
DET,Detroit,Michiga,67,1948,2014,2558,2694,0.487,40,3
GSW,Oakland,Californi,69,1946,2014,2487,2868,0.464,30,3
HOU,Houston,Texa,48,1967,2014,1988,1866,0.516,28,2
IND,Indianapolis,Indian,48,1967,2014,1967,1893,0.510,31,3
LAC,Los Angeles,Californi,45,1970,2014,1393,2216,0.386,10,0
LAL,Los Angeles,Californi,67,1948,2014,3210,2043,0.611,60,16
MEM,Memphis,Tennesse,20,1995,2014,633,925,0.406,7,0
MIA,Miami,Florid,27,1988,2014,1106,1025,0.519,18,3
MIL,Milwaukee,Wisconsi,47,1968,2014,1935,1837,0.513,27,1
MIN,Minnesota,Minnesot,26,1989,2014,810,1240,0.395,8,0
NOH,New Orleans,Louisian,13,2002,2014,479,537,0.471,5,0
NYK,New York,New Yor,69,1946,2014,2662,2697,0.497,42,2
OKC,Oklahoma City,Oklahom,48,1967,2014,2063,1791,0.535,27,1
ORL,Orlando,Florid,26,1989,2014,1017,1036,0.495,14,0
PHI,Philadelphia,Pennsylvani,66,1949,2014,2708,2481,0.522,47,3
PHO,Phoenix,Arizon,47,1968,2014,2088,1686,0.553,29,0
POR,Portland,Orego,45,1970,2014,1928,1680,0.534,30,1
SAC,Sacramento,Californi,67,1948,2014,2419,2832,0.461,29,1
SAS,San Antonio,Texa,48,1967,2014,2292,1568,0.594,42,5
TOR,Toronto,Canad,20,1995,2014,662,897,0.425,6,0
UTA,Salt Lake City,Uta,41,1974,2014,1754,1525,0.535,25,0
WAS,Washington,District of Columbi,54,1961,2014,1948,2388,0.449,26,1
AND,Anderson,Indian,1,1949,1949,37,27,0.578,1,0
BLB,Baltimore,Marylan,8,1947,1954,158,292,0.351,3,1
CHS,Chicago,Illinoi,4,1946,1949,145,92,0.612,4,0
CLR,Cleveland,Ohi,1,1946,1946,30,30,0.500,1,0
DNN,Denver,Colorad,1,1949,1949,11,51,0.177,0,0
DTF,Detroit,Michiga,1,1946,1946,20,40,0.333,0,0
INJ,Indianapolis,Indian,1,1948,1948,18,42,0.300,0,0
INO,Indianapolis,Indian,4,1949,1952,132,137,0.491,4,0
KEN,Louisville,Kentuck,9,1967,1975,448,296,0.602,9,1
MMS,Memphis,Tennesse,8,1967,1974,275,385,0.417,4,0
PTC,Pittsburgh,Pennsylvani,5,1967,1971,180,228,0.441,2,1
PIT,Pittsburgh,Pennsylvani,1,1946,1946,15,45,0.250,0,0
PRO,Providence,Rhode Islan,3,1946,1948,46,122,0.274,0,0
SDS,San Diego,Californi,4,1972,1975,101,162,0.384,2,0
SHE,Sheboygan,Wisconsi,1,1949,1949,22,40,0.355,1,0
SSL,St. Louis,Missour,9,1967,1975,334,410,0.449,5,0
STB,St. Louis,Missour,4,1946,1949,122,115,0.515,3,0
FLO,Miami,Florid,5,1967,1971,189,219,0.463,4,0
TRH,Toronto,Canad,1,1946,1946,22,38,0.367,0,0
UTS,Salt Lake City,Uta,9,1967,1975,366,310,0.541,6,1
VIR,Norfolk,Virgini,9,1967,1975,326,417,0.439,6,1
WSC,Washington,District of Columbi,5,1946,1950,157,114,0.579,4,0
WAT,Waterloo,Iow,1,1949,1949,19,43,0.306,0,0
